Nodes,avg,min,max,median,stdev,0,1,2,3,4
1000,0.2274,0.202,0.262,0.227,0.025510782034269354,0.242,0.227,0.262,0.204,0.202
10000,0.14404,0.1209,0.1821,0.1332,0.026679261608972618,0.1821,0.1332,0.1228,0.1612,0.1209
100000,0.115132,0.10559,0.12636,0.1099,0.01016512518368564,0.12592,0.12636,0.10789,0.10559,0.1099
1000000,0.119806,0.113919,0.128142,0.118307,0.0054176914825412505,0.113919,0.117033,0.118307,0.121629,0.128142
